,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
46,vt,smoothed_cli,2020-09-03,2020-11-19,77,0.22805,0.170583,877.0008,state,fb-survey
47,wa,smoothed_cli,2020-09-03,2020-11-19,77,0.378849,0.0604306,7896.9479,state,fb-survey
48,wi,smoothed_cli,2020-09-03,2020-11-19,77,0.5162419,0.0790829,6033.9274,state,fb-survey
49,wv,smoothed_cli,2020-09-03,2020-11-19,77,0.4539917,0.1145152,2389.3036,state,fb-survey
50,wy,smoothed_cli,2020-09-03,2020-11-19,77,0.5205542,0.2038715,758.5307,state,fb-survey
0,ak,smoothed_cli,2020-09-04,2020-11-19,76,0.4790695,0.2079779,827.0,state,fb-survey
1,al,smoothed_cli,2020-09-04,2020-11-19,76,1.0699815,0.1373645,4368.1287,state,fb-survey
2,ar,smoothed_cli,2020-09-04,2020-11-19,76,0.8695298,0.1392061,3080.5263,state,fb-survey
3,az,smoothed_cli,2020-09-04,2020-11-19,76,0.4882292,0.0785222,6009.8099,state,fb-survey
4,ca,smoothed_cli,2020-09-04,2020-11-19,76,0.4699514,0.0383188,24375.6809,state,fb-survey
5,co,smoothed_cli,2020-09-04,2020-11-19,76,0.3951986,0.069697,5841.8402,state,fb-survey
6,ct,smoothed_cli,2020-09-04,2020-11-19,76,0.2565729,0.0670521,4336.0,state,fb-survey
7,dc,smoothed_cli,2020-09-04,2020-11-19,76,0.7765483,0.3323107,647.0,state,fb-survey
8,de,smoothed_cli,2020-09-04,2020-11-19,76,0.2524743,0.1309528,1275.0,state,fb-survey
9,fl,smoothed_cli,2020-09-04,2020-11-19,76,0.6206258,0.0494121,19256.0022,state,fb-survey
10,ga,smoothed_cli,2020-09-04,2020-11-19,76,0.8489355,0.0886279,8142.9158,state,fb-survey
11,hi,smoothed_cli,2020-09-04,2020-11-19,76,0.4254783,0.1599932,1324.0,state,fb-survey
12,ia,smoothed_cli,2020-09-04,2020-11-19,76,0.9445056,0.1267133,4348.1855,state,fb-survey
13,id,smoothed_cli,2020-09-04,2020-11-19,76,1.1333918,0.2066348,2146.6254,state,fb-survey
14,il,smoothed_cli,2020-09-04,2020-11-19,76,0.5682503,0.0598404,12038.023,state,fb-survey
15,in,smoothed_cli,2020-09-04,2020-11-19,76,0.6578845,0.0854633,6761.0048,state,fb-survey
16,ks,smoothed_cli,2020-09-04,2020-11-19,76,0.6859374,0.123414,3334.0862,state,fb-survey
